Model run 2021090612Z
Started looking for data at 17:00Z
Data complete at 17:05ZZ - Processing 2021090612Z Run 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

GISBORNE; Fri 10 Sep 2021; Partly cloudy, with isolated showers developing in the evening. Fresh northwesterlies.; FewShowers; PartCloudy;PartCloudy;PartCloudy;PartCloudy;
GISBORNE; Sat 11 Sep 2021; Rain, clearing to fine with a few clouds in the morning. Westerlies, turning southerly in the morning.; Showers; Rain;Cloudy;Fine;Fine;
GISBORNE; Sun 12 Sep 2021; Fine with a few clouds. Northwesterly breezes developing in the morning.; Fine; Fine;Fine;Fine;Fine;


HAWKES BAY; Tue 07 Sep 2021; Cloudy with scattered rain, becoming mainly fine with isolated showers in the afternoon. Northerlies, becoming fresh for a time in the afternoon and evening.; FewShowers; Showers;Showers;FewShowers;PartCloudy;
HAWKES BAY; Wed 08 Sep 2021; Fine at first, then a few showers developing in the morning. Northwesterlies, rising to fresh southwesterlies for a time in the afternoon and evening.; FewShowers; Fine;FewShowers;Showers;FewShowers;
HAWKES BAY; Thu 09 Sep 2021; Fine with a few clouds. Westerly breezes, becoming fresh in the morning.; Fine; Fine;Fine;Fine;PartCloudy;
HAWKES BAY; Fri 10 Sep 2021; A few showers, clearing for a time in the afternoon, but remaining partly cloudy. Fresh northwesterlies, easing in the evening.; FewShowers; FewShowers;Wind;PartCloudy;FewShowers;
HAWKES BAY; Sat 11 Sep 2021; Cloudy with scattered rain, clearing to fine with a few clouds in the morning. Southerlies, easing to light winds in the evening.; Showers; Showers;Cloudy;PartCloudy;Fine;
HAWKES BAY; Sun 12 Sep 2021; Mostly cloudy, becoming fine in the morning. Westerly breezes developing in the morning.; Fine; Fine;Cloudy;Fine;Fine;


WAIRARAPA; Tue 07 Sep 2021; Cloudy with scattered rain, becoming mainly fine with isolated showers in the afternoon. Fresh northerlies, rising to strong northwesterlies in the afternoon.; FewShowers; Showers;Showers;FewShowers;FewShowers;
WAIRARAPA; Wed 08 Sep 2021; A few showers, becoming more frequent for a time in the afternoon and evening. Westerlies, rising to fresh southerlies for a time in the afternoon and evening.; FewShowers; PartCloudy;Showers;Rain;PartCloudy;
WAIRARAPA; Thu 09 Sep 2021; Fine with a few clouds. Northwesterlies, becoming strong in the morning.; Wind; Fine;Wind;Wind;Wind;
WAIRARAPA; Fri 10 Sep 2021; A few showers, clearing about the coast for a time in the afternoon, but remaining partly cloudy there. Gale northwesterlies, easing to fresh westerlies in the evening.; Wind; Wind;Wind;Wind;FewShowers;
WAIRARAPA; Sat 11 Sep 2021; A few showers, clearing for a time in the afternoon, but remaining partly cloudy. Southwesterlies, easing to light winds in the morning.; FewShowers; FewShowers;Cloudy;Fine;Fine;
WAIRARAPA; Sun 12 Sep 2021; Partly cloudy, becoming fine for a time in the afternoon. Northerly breezes, rising to strong northwesterlies in the morning.; Fine; Fine;Wind;Wind;Wind;


TARANAKI; Tue 07 Sep 2021; Showers, becoming drizzle for a time in the afternoon and evening. Fresh northerlies, easing to westerlies in the afternoon.; Showers; Showers;Rain;Drizzle;FewShowers;
TARANAKI; Wed 08 Sep 2021; A few showers, clearing in the evening, but becoming mostly cloudy. Westerlies, rising to strong southwesterlies for a time in the afternoon and evening.; Showers; Showers;Rain;FewShowers;Cloudy;
TARANAKI; Thu 09 Sep 2021; Fine with a few clouds. Westerlies, becoming fresh in the morning.; Fine; Fine;Fine;Fine;PartCloudy;
TARANAKI; Fri 10 Sep 2021; Partly cloudy with isolated showers, becoming rain in the evening. Strong northwesterlies, easing to westerlies in the evening.; Showers; FewShowers;Wind;Wind;Rain;
TARANAKI; Sat 11 Sep 2021; Mainly fine with isolated showers, clearing in the morning. Southerly breezes.; FewShowers; Fine;PartCloudy;Fine;Fine;
