Model run 2021090612Z
Started looking for data at 19:00Z
Data complete at 19:05ZZ - Processing 2021090612Z Run 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

TAUMARUNUI; Thu 09 Sep 2021; Mainly fine with isolated showers, becoming cloudy with scattered rain in the afternoon. Westerlies, becoming fresh in the morning.; FewShowers; Fine;FewShowers;FewShowers;Cloudy;
TAUMARUNUI; Fri 10 Sep 2021; A few showers, becoming rain in the morning. Northwesterlies, becoming fresh in the morning.; Showers; FewShowers;Rain;Rain;Rain;
TAUMARUNUI; Sat 11 Sep 2021; A few showers, clearing to fine in the afternoon. Southwesterlies, easing to light winds in the afternoon.; FewShowers; FewShowers;FewShowers;Fine;Fine;
TAUMARUNUI; Sun 12 Sep 2021; Mainly fine with isolated showers, clearing, but becoming mostly cloudy. Westerlies developing for a time.; Cloudy; Fine;FewShowers;Cloudy;Cloudy;
TAUMARUNUI; Mon 13 Sep 2021; Cloudy with scattered rain, becoming widespread. Fresh northwesterlies, becoming strong later.; Rain; Showers;Rain;Rain;WindRain;
TAUMARUNUI; Tue 14 Sep 2021; Showers, clearing to fine. Southerlies developing for a time.; Showers; Rain;FewShowers;PartCloudy;Fine;
TAUMARUNUI; Wed 15 Sep 2021; Fine, becoming partly cloudy. Southwesterly breezes developing for a time.; Fine; Fine;Fine;Fine;Cloudy;
TAUMARUNUI; Thu 16 Sep 2021; Mostly cloudy, becoming fine later. Southwesterlies, easing to light winds.; Cloudy; Cloudy;Cloudy;Cloudy;Fine;


TAIHAPE; Tue 07 Sep 2021; Cloudy with scattered rain, becoming widespread for a time in the afternoon and evening. Fresh northerlies, easing to westerlies in the evening.; Showers; Showers;Showers;Rain;Showers;
TAIHAPE; Wed 08 Sep 2021; Partly cloudy with isolated showers, becoming widespread in the morning. Northwesterlies, rising to fresh southwesterlies for a time in the afternoon and evening.; Showers; Cloudy;Rain;Showers;FewShowers;
